anio	mes	estacion	nom_depto	ecoregion	grupo_edad	prec_mm_cat	casos_lepto
2014	1	Verano	LA CAPITAL	Delta e Islas del Paraná	0-14	0-41 mm	1
2014	1	Verano	LA CAPITAL	Delta e Islas del Paraná	15-29	0-41 mm	0
2014	1	Verano	LA CAPITAL	Delta e Islas del Paraná	30-44	0-41 mm	1
2014	1	Verano	LA CAPITAL	Espinal	30-44	0-41 mm	2
2014	1	Verano	LAS COLONIAS	Espinal	30-44	42-89 mm	0
2014	1	Verano	ROSARIO	Delta e Islas del Paraná	0-14	0-41 mm	0
2014	1	Verano	SAN JAVIER	Delta e Islas del Paraná	30-44	90-139 mm	0
2014	10	Primavera	IRIONDO	Pampa	45-59	0-41 mm	1
2014	10	Primavera	LA CAPITAL	Delta e Islas del Paraná	15-29	0-41 mm	2
2014	10	Primavera	ROSARIO	Pampa	15-29	0-41 mm	0
2014	11	Primavera	LA CAPITAL	Delta e Islas del Paraná	60+	0-41 mm	0
2014	11	Primavera	LA CAPITAL	Espinal	30-44	0-41 mm	6
2014	11	Primavera	SAN LORENZO	Delta e Islas del Paraná	0-14	0-41 mm	0
2014	11	Primavera	VERA	Chaco Húmedo	15-29	0-41 mm	3
2014	12	Primavera	LA CAPITAL	Delta e Islas del Paraná	0-14	0-41 mm	1
2014	12	Primavera	LA CAPITAL	Delta e Islas del Paraná	15-29	0-41 mm	1
2014	2	Verano	CASEROS	Pampa	0-14	0-41 mm	2
2014	2	Verano	GENERAL LOPEZ	Pampa	0-14	0-41 mm	0
2014	2	Verano	LA CAPITAL	Delta e Islas del Paraná	60+	0-41 mm	1
2014	2	Verano	ROSARIO	Delta e Islas del Paraná	15-29	0-41 mm	1
2014	3	Verano	GARAY	Delta e Islas del Paraná	30-44	>140 mm	0
2014	3	Verano	GENERAL OBLIGADO	Chaco Húmedo	45-59	0-41 mm	2
2014	3	Verano	GENERAL OBLIGADO	Delta e Islas del Paraná	15-29	0-41 mm	0
2014	3	Verano	IRIONDO	Pampa	60+	42-89 mm	0
2014	3	Verano	LA CAPITAL	Delta e Islas del Paraná	45-59	0-41 mm	0
2014	3	Verano	LA CAPITAL	Espinal	30-44	0-41 mm	1
2014	3	Verano	LAS COLONIAS	Espinal	60+	>140 mm	1
2014	3	Verano	SAN JUSTO	Chaco Húmedo	0-14	>140 mm	0
2014	3	Verano	SAN LORENZO	Pampa	45-59	0-41 mm	0
2014	4	Otoño	CASTELLANOS	Espinal	15-29	90-139 mm	1
2014	4	Otoño	IRIONDO	Pampa	45-59	>140 mm	2
2014	4	Otoño	LA CAPITAL	Delta e Islas del Paraná	0-14	0-41 mm	0
2014	4	Otoño	LA CAPITAL	Delta e Islas del Paraná	15-29	0-41 mm	3
2014	4	Otoño	LA CAPITAL	Delta e Islas del Paraná	30-44	0-41 mm	1
2014	4	Otoño	LA CAPITAL	Delta e Islas del Paraná	45-59	0-41 mm	1
2014	4	Otoño	LA CAPITAL	Espinal	30-44	0-41 mm	0
2014	4	Otoño	LAS COLONIAS	Espinal	15-29	90-139 mm	0
2014	4	Otoño	ROSARIO	Delta e Islas del Paraná	15-29	90-139 mm	1
2014	4	Otoño	ROSARIO	Delta e Islas del Paraná	45-59	90-139 mm	2
2014	4	Otoño	SAN JUSTO	Espinal	15-29	>140 mm	2
2014	4	Otoño	SAN JUSTO	Espinal	30-44	>140 mm	0
2014	4	Otoño	SAN JUSTO	Espinal	45-59	>140 mm	1
2014	5	Otoño	CONSTITUCION	Delta e Islas del Paraná	30-44	42-89 mm	1
2014	5	Otoño	GENERAL LOPEZ	Pampa	15-29	0-41 mm	1
2014	5	Otoño	GENERAL OBLIGADO	Delta e Islas del Paraná	15-29	0-41 mm	0
2014	5	Otoño	LA CAPITAL	Delta e Islas del Paraná	15-29	0-41 mm	0
2014	5	Otoño	LAS COLONIAS	Espinal	30-44	0-41 mm	6
2014	5	Otoño	SAN CRISTOBAL	Espinal	15-29	0-41 mm	0
2014	5	Otoño	SAN JERONIMO	Espinal	0-14	0-41 mm	0
2014	5	Otoño	SAN JUSTO	Espinal	15-29	42-89 mm	0
2014	5	Otoño	VERA	Chaco Húmedo	15-29	0-41 mm	0
2014	6	Otoño	GENERAL OBLIGADO	Delta e Islas del Paraná	15-29	0-41 mm	1
2014	6	Otoño	LA CAPITAL	Delta e Islas del Paraná	45-59	0-41 mm	1
2014	6	Otoño	LA CAPITAL	Espinal	30-44	0-41 mm	6
2014	6	Otoño	ROSARIO	Delta e Islas del Paraná	30-44	0-41 mm	8
2014	6	Otoño	SAN JUSTO	Espinal	0-14	0-41 mm	0
2014	6	Otoño	SAN JUSTO	Espinal	15-29	0-41 mm	0
2014	6	Otoño	SAN LORENZO	Pampa	15-29	0-41 mm	0
2014	7	Invierno	GARAY	Delta e Islas del Paraná	30-44	0-41 mm	1
2014	7	Invierno	LA CAPITAL	Delta e Islas del Paraná	45-59	0-41 mm	2
2014	7	Invierno	LA CAPITAL	Espinal	15-29	0-41 mm	2
