provincia,departamento,periodo,semana_epi,grupo_edad_cat,casos
Buenos Aires,MORON,2024,10,35-65 años,46
Buenos Aires,ESCOBAR,2024,8,35-65 años,7
Buenos Aires,TRES DE FEBRERO,2024,6,65+ años,9
Buenos Aires,ESCOBAR,2024,17,35-65 años,8
Buenos Aires,MALVINAS ARGENTINAS,2024,6,20-34 años,7
Buenos Aires,FLORENCIO VARELA,2024,12,10-19 años,66
Buenos Aires,ESCOBAR,2024,10,35-65 años,15
Buenos Aires,VICENTE LOPEZ,2024,6,35-65 años,9
Buenos Aires,ALMIRANTE BROWN,2024,18,35-65 años,6
Buenos Aires,FLORENCIO VARELA,2024,14,0-9 años,6
Buenos Aires,ITUZAINGO,2024,8,35-65 años,9
Buenos Aires,NECOCHEA,2024,11,35-65 años,2
Buenos Aires,QUILMES,2024,11,65+ años,21
Buenos Aires,LA PLATA,2024,8,35-65 años,23
Buenos Aires,MORENO,2024,11,35-65 años,134
Buenos Aires,LEANDRO N. ALEM,2024,13,20-34 años,2
Buenos Aires,SAN MIGUEL,2024,6,35-65 años,10
Buenos Aires,MALVINAS ARGENTINAS,2024,12,0-9 años,24
Buenos Aires,CHACABUCO,2024,12,35-65 años,2
Buenos Aires,BERAZATEGUI,2024,8,0-9 años,6
Buenos Aires,HURLINGHAM,2024,14,35-65 años,34
Buenos Aires,MORENO,2024,10,10-19 años,63
Buenos Aires,LA MATANZA,2024,6,35-65 años,29
Buenos Aires,LOMAS DE ZAMORA,2024,9,0-9 años,4
Buenos Aires,SAN MIGUEL,2024,13,0-9 años,49
Buenos Aires,LA MATANZA,2024,4,35-65 años,12
Buenos Aires,JUNIN,2024,14,20-34 años,8
Buenos Aires,SAN VICENTE,2024,15,10-19 años,1
Buenos Aires,GENERAL RODRIGUEZ,2024,15,35-65 años,17
Buenos Aires,CORONEL DE MARINA L. ROSALES,2024,6,20-34 años,3
Buenos Aires,ITUZAINGO,2024,11,10-19 años,17
Buenos Aires,LA MATANZA,2024,12,35-65 años,258
Buenos Aires,AVELLANEDA,2024,14,10-19 años,38
Buenos Aires,LA PLATA,2024,9,10-19 años,22
Buenos Aires,PRESIDENTE PERON,2024,10,20-34 años,3
Buenos Aires,TRES DE FEBRERO,2024,18,10-19 años,7
Buenos Aires,HURLINGHAM,2024,13,65+ años,35
Buenos Aires,FLORENTINO AMEGHINO,2024,14,35-65 años,1
Buenos Aires,LA MATANZA,2024,17,10-19 años,29
Buenos Aires,CANUELAS,2024,8,35-65 años,3
Buenos Aires,LA MATANZA,2024,8,10-19 años,89
Buenos Aires,PRESIDENTE PERON,2024,9,35-65 años,3
Buenos Aires,BERAZATEGUI,2024,11,20-34 años,24
Buenos Aires,TIGRE,2024,17,10-19 años,2
Buenos Aires,AVELLANEDA,2024,17,35-65 años,17
Buenos Aires,ESCOBAR,2024,13,0-9 años,20
Buenos Aires,CANUELAS,2024,11,20-34 años,6
Buenos Aires,LANUS,2024,4,10-19 años,2
Buenos Aires,GENERAL RODRIGUEZ,2024,11,0-9 años,3
Buenos Aires,GENERAL SAN MARTIN,2024,15,20-34 años,28
Buenos Aires,ESCOBAR,2024,10,35-65 años,9
Buenos Aires,LOMAS DE ZAMORA,2024,12,35-65 años,145
Buenos Aires,GENERAL SAN MARTIN,2024,10,20-34 años,64
Buenos Aires,ALMIRANTE BROWN,2024,18,10-19 años,9
Buenos Aires,LOMAS DE ZAMORA,2024,15,20-34 años,68
Buenos Aires,BERAZATEGUI,2024,12,10-19 años,19
Buenos Aires,LINCOLN,2024,13,35-65 años,2
Buenos Aires,QUILMES,2024,11,0-9 años,9
